0	0.975386
20	0.996001
40	0.996813
60	0.996867
80	0.99695
100	0.997239
120	0.997237
140	0.997315
160	0.997316
180	0.997319
200	0.997348
220	0.997353
240	0.997361
260	0.997417
280	0.997418
300	0.997418
320	0.997418
340	0.997419
360	0.997428
380	0.99745
400	0.99745
420	0.99745
440	0.99745
460	0.99745
480	0.997451
500	0.99745

0	0.95413
20	0.996471
40	0.996738
60	0.997081
80	0.997096
100	0.997148
120	0.997149
140	0.997151
160	0.99716
180	0.997154
200	0.997155
220	0.997155
240	0.997155
260	0.997155
280	0.997225
300	0.997224
320	0.997225
340	0.997225
360	0.997221
380	0.997221
400	0.997221
420	0.997247
440	0.997247
460	0.997247
480	0.997247
500	0.997439

0	0.967628
20	0.995843
40	0.996556
60	0.996764
80	0.996802
100	0.996937
120	0.996948
140	0.996943
160	0.996945
180	0.997078
200	0.997152
220	0.997201
240	0.997208
260	0.997219
280	0.997261
300	0.997262
320	0.997286
340	0.997286
360	0.997291
380	0.997317
400	0.997317
420	0.997317
440	0.997319
460	0.997319
480	0.997319
500	0.997319

0	0.957244
20	0.995511
40	0.996365
60	0.996559
80	0.996943
100	0.997032
120	0.997033
140	0.997189
160	0.997188
180	0.997189
200	0.99719
220	0.997226
240	0.997226
260	0.99723
280	0.997326
300	0.997326
320	0.997333
340	0.997334
360	0.997334
380	0.997335
400	0.997406
420	0.997406
440	0.997407
460	0.997407
480	0.997408
500	0.997408

0	0.955788
20	0.995245
40	0.995326
60	0.995457
80	0.995628
100	0.995704
120	0.995768
140	0.996598
160	0.996748
180	0.996827
200	0.996839
220	0.996848
240	0.996846
260	0.996859
280	0.996857
300	0.996858
320	0.996858
340	0.996859
360	0.996861
380	0.996862
400	0.996862
420	0.996868
440	0.996877
460	0.996878
480	0.996959
500	0.996961

